830,578
829,600
829,621
831,644
837,665
849,682
866,696
886,704
910,707
934,708
954,701
970,689
983,673
992,654
998,635
1003,616
1008,596
851,545
864,535
880,533
897,536
912,544
941,547
958,545
975,547
988,553
997,565
926,569
925,580
924,591
923,602
902,621
911,623
920,626
929,625
938,625
866,571
876,567
888,567
896,575
886,576
875,575
952,580
962,576
973,578
981,584
972,586
961,584
883,655
898,645
911,640
919,643
928,642
939,650
949,663
937,668
925,668
915,668
906,666
895,663
889,655
910,653
918,654
927,654
944,662
926,655
917,654
908,653
